text	label
101	buyer beware could flush money right toilet	0
102	definitely bargain	1
103	price good free shipping good purchase	1
104	receive supposedly new motorola apparently match phone charger	0
105	prosgood camera nice picture also cool style like black white	1
106	huge design flaw unless use correctly think case	0
107	love headset bluetooth headset great reception good ear piece comfortable fit	1
108	camera although rate impressive megapixel render image fall well expectation relatively high resolution	0
109	purcashe car charger work	0
110	sound quality end excellent use headset call wife ask wife use headset call	1
111	phone slim light display beautiful	1
112	little geeky think sex toast rock ooze sex right battery embed sleek stylish leather case	1
113	great product fast shipping	1
114	absolutely great	1
115	keyboard nice compromise full qwerty basic cell phone number keypad	1
116	get phone around end may completely unhappy	0
117	comfortable ear	1
118	winner	1
119	setup could simple	1
120	try several different earpiece cell phone jabra one first one find fit ear comfortably	1
121	could get strong enough signal	0
122	iam pleased purchase	1
123	bad quality	0
124	get job	1
125	great audio	1
126	basically service bad	0
127	work cell phone plug set charger	0
128	bluetooth week really like	1
129	bt headset disapoinment	0
130	small even realize get use	1
131	accompanied software almost brilliant	1
132	headset work great package nicely avoid damage	1
133	definitly recommend	1
134	buyerbe careful	0
135	majority logitech earbud headset fail	0
136	good stuff price	1
137	headset work peachykeen	1
138	house get drop coverage upstairs coverage basement	0
139	voice recognition tremendous	1
140	waste	0
141	several different minute call experience drop area bar	0
142	happy item	0
143	disappointed	0
144	phone take forever charge like hour literally	0
145	get phone reccomendation relative glad	1
146	waste time	0
147	reception poor	0
148	item state include description include	0
149	month screen go black sudden	0
150	hope more	0
151	audio quality poor poor	0
152	absolutely problem headset link blackberry curve	1
153	know sound funny seem like sketchy technology would work wellwell one work great	1
154	buy wired headphone sound better	0
155	phone fast send kind message web browsing significantly fast previous phone use	1
156	nice quality build unlike cheap	1
157	item fantastic work perfectly	1
158	love color	1
159	superb	1
160	whine internet goesthe use thing less like	0
161	great charger	1
162	essentially communication tool communicate	0
163	work like charm work one get phone	1
164	still maintain monkey make headphone obviously share enough dna copy design human	0
165	great value	1
166	work bougth work	0
167	look sharp screen nice clear great graphic	1
168	last long	0
169	one thing hate mode set button side	0
170	excellent service	1
171	thank waste money	0
172	bethe audio quality poor	0
173	igo charger tip really great	1
174	file browser offer option one needshandsfree great	1
175	superb phone great network	1
176	connect wifes bluetoothmotorola phone work like charm whether phone pocket case	1
177	put late os g like slow crawl lock every	0
178	recognize phone storage device	0
179	like loud buzzing override conversation phone	0
180	buy product	0
181	bluetoooth headset time still comfortable way fit ear	0
182	sound quality good functionality awesome	1
183	phone thorn side really abhor	0
184	recently problem could stay connected minute disconnect	0
185	incredible	1
186	design flaw	0
187	great phone	1
188	waste buck	0
189	check voice mail night keypad backlight turn second first message lose	0
190	replacement die week	0
191	ring toneoverall good phone buy	1
192	lately extremely nice helpful phone	1
193	problem wit hit drop signal	0
194	impressed	0
195	light weight hardly notice	1
196	love thin	1
197	bad choice	0
198	pleather case fit	0
199	useless phone simply deaf	0
200	color even pretty think would graphic incredibly sharp	1
201	think good investment	1
202	make strange ticking noise end call	0
203	good electronic available fm transmitter	1
204	battery last hour	0
205	great headset impressed	1
206	mega pixel camera part phone reasonably	1
207	nearly year work great	1
208	good transmit audio	1
209	send back	0
210	bother contact company dollar product learn lesson buy form online anyway	0
211	hate earbug avoid phone mean	0
212	great price also	1
213	range decent able roam around house phone living room receptionsound quality issue	1
214	fast service	1
215	would highly recommend	1
216	would recommend	1
217	also like button feel like would crack use	0
218	worst phone ever	0
219	still infatuate phone	1
220	freeze	0
221	kind embarrassing use look mostly embarrassing childlike company	0
222	simple lightweight great fit	1
223	would expect well consumer experience motorola	0
224	horrible tick sound background call never experience	0
225	certainly comfortable functionality decent	1
226	usually like headband one lightweight mess hair	1
227	bit disappointed	0
228	phone year tell great	0
229	order sony ericsson think work first use	0
230	battery completely useless	0
231	big waste time	0
232	waste one	0
233	great sound service	1
234	really pleased product far	1
235	one favorite purchase ever	1
236	good bluetooth market	1
237	authentic leather nice shine comfort recommend case	1
238	excited get headset think really cute	1
239	do make mistake	0
240	big disappointment calendar sync	0
241	phone unusable new	0
242	worst customer service ever	0
243	additional ear gel provide instruction whatsoever	0
244	defeat purpose bluetooth headset	0
245	worth every penny	1
246	excellent wallet type phone case	1
247	nice headphone price work great	1
248	internet excrutiatingly slow	0
249	comfortable wear well probably important aspect use case	1
250	fit like glove strong secure durable	1
251	gosh good phone ever	1
252	attractive appear good quality	1
253	love feature form factor	1
254	product strong rubberpetroleum smell unbearable cause return	0
255	poor quality service	0
256	cable look thin flimsy scary	0
257	great earpiece	1
258	excellent hand free tool	1
259	great use home stereo	1
260	good product incredible value	1
261	month work flawlessly far	1
262	work great	1
263	absolutel junk	0
264	one work either	0
265	battery life real good	1
266	return hour later	0
267	great item	1
268	waste money	0
269	love headset	1
270	drain player may also potentially fry	0
271	work perfectly	1
272	unreliable give	0
273	give star sound quality	1
274	avoid one	0
275	reversible plug work great	1
276	waste little money earpiece	0
277	good phone	1
278	good rotate feature helpful	1
279	comfort whole family	1
280	good product good seller	1
281	love bluetooth	1
282	first wear well	0
283	impressed headset plantronics	1
284	get small adorable	1
285	great phone	1
286	would recommend buy product	0
287	piece junk	0
288	poorly contstruct hinge	0
289	item great instal let charge overnite work good every since problem	1
290	great phone	1
291	buy	0
292	excellent phone	1
293	purchase phone	0
294	voice recognition thru handset excellent	1
295	hand good phone ever	1
296	work great cat attack phone scratch protective strip instead destroy screen	1
297	one work price right	1
298	customer service terrible	0
299	battery life still long enough motorola razor	0
300	send back	0
301	know make wise decision	1
302	someone invent sooner	1
303	good price	1
304	everything work first trythe device certainly engineer clever way construction feel good	1
305	receive quickly work great	1
306	work great	1
307	many people complain find headset microphone weak	0
308	old nokia tracfone hold charge lot well	0
309	care consumer one bit	0
310	good battery get really fast	1
311	instruction manual lack	0
312	also slim enough fit alarm clock docking station without remove case	1
313	phone hold charge like new	1
314	battery unreliable well service use antena	0
315	uncomfortable sound quality quite poor compare phone razr previous wired headset plug lg	0
316	get lot compliment	1
317	definitely must state allow cell phone usage drive	1
318	want money back	0
319	love device	1
320	also happy price	1
321	order product first unhappy immediately	0
322	ngage still lack earbud	0
323	able voice dialing car problem	1
324	bar cell phone home hear anything	0
325	good item low price	1
326	howeverthe riingtone good neither game	0
327	plug work well	0
328	amazon suck	0
329	rip charge shipping	0
330	comfortable	1
331	battery work well replacement original come phone year ago	1
332	reception excellent	1
333	fit comfortably either ear sound clear loud charge last couple day	1
334	clear quality sound mess sound ipod since sound button headset	1
335	long last battery recharge frequentyly flip	0
336	obviously problem adhesive	0
337	disappointing	0
338	inexpensive piece would still expect well quality	0
339	practically useless add kind boost reception buy	0
340	excellent sound quality	1
341	happy	0
342	piece junk broke my phone day	0
343	new battery work great phone	1
344	bad customer service	0
345	drop phone time say even concrete phone still great knock wood	1
346	reception terrible full static	0
347	good audio quality	1
348	little device transform organizational capability make life whole lot easy	1
349	sit vehicle cradle belt headset lose signal	0
350	jerks phone	0
351	work like charm work advertise	1
352	comfortable nice range good battery life	1
353	network coverage los angeles horrible	0
354	excellent starter wireless headset	0
355	loudspeaker option great bumper light appeal	0
356	thing think could improve sound leak headset	0
357	first reception suck never bar ever	0
358	phone get extremely hot	0
359	microphone also work well accord people call applifie everything	1
360	nice design quality	1
361	also phone drop case go save specially drop face	0
362	light easy use clear reception transmission	1
363	bad fit way big	0
364	definitely good	1
365	awesome device	1
366	waste money	0
367	order motorola datum cable get well finished work product	1
368	love phone	1
369	look headset long time get could happy	1
370	ill drivng along headset start ring reason	0
371	display excellent camera good year	1
372	battery life also great	1
373	bad phone ever month	0
374	good item work start problem auto reverse tape player	0
375	embarasse also ear hurt try push ear plug ear	0
376	protect phone side	1
377	average phone bad battery life operate weak network	0
378	clear skype call long battery life long range	1
379	soyo technology suck	0
380	great hands free device	1
381	even take self portrait outside exterior display cool	1
382	problem mention	0
383	try many many handsfree gadget one finally work well	1
384	magical help	1
385	bad piece crap ever along verizon customer service	0
386	poor sound quality	0
387	good phone market	1
388	work well	1
389	company ship product promptly work well	1
390	exactly want	1
391	picture resolution far comparablyprice phone offer today	0
392	great deal	1
393	excellent product satisfied purchase	1
394	highly recommend encourage people give try	1
395	well would expect	1
396	use earpiece leave right thing stay ear	0
397	great product price	1
398	sound good reasonably price effective simple	1
399	still wait sure item would work well ever recieve	0
400	disappointment	0
401	prompt service	1
402	excellent product price	1
403	pleased headset	1
404	waste money time	0
405	especially love long battery life	1
406	stupid keep buy new charger car charger cradle headphone car kit every time new phone come	0
407	work great	1
408	plantronics bluetooth excelent buy	1
409	come verizon cingulair nice cell phone first thing notice really bad service	0
410	ill look new earpiece	0
411	highly recommend device everyone	1
412	jawbone era awesome	1
413	receive white color battery go dead couple hoursthe original use last week still last longer thereplacement	0
414	year battery go completely dead headset	0
415	use several phone two year one good	1
416	awesome new look fall	1
417	first phone cheaply make	0
418	att clear sound distorted yell talk	0
419	plastic break really easy clip	0
420	price good	1
421	make mistake	0
422	oh forget also mention weird color effect phone	0
423	use iriver spinn case fit fine	1
424	also area unit break fond magnetic strap	0
425	overall psyche phone appointment contact get great reception	1
426	every thing phone work perfectly like	1
427	another note phone appearance really look rather bland especially black model	0
428	really easy	1
429	sanyo survive dozen drop blacktop without ill effect	1
430	fantastic earphone	1
431	find cell phone right away enter car	1
432	low quality	0
433	highly recommend modest price cellular phone	1
434	get well reception clarity phone	1
435	warning stay away	0
436	wish could return unit get back money	0
437	awsome device work great	1
438	use talk hour battery would literally drain die	0
439	find bad unit come one earpad onlyi would recommend anyone	0
440	displeased	0
441	may get defect would risk buy build quality alone	0
442	make case small difficult install	0
443	restore phone like new performance	1
444	would recommend purchase jabra series work flawlessly moto q go figure	1
445	search internet find one good value	1
446	fit	0
447	happy product	1
448	screen size big key pad light well enough camera quality excellent camera phone	1
449	really nothing bad say headset	0
450	glad find product amazon hard find high price	1
451	portable work	1
452	colleague get great receptiona little expensive performance great	1
453	even fully charge go bed turn blue tooth wifi notice leave morning	0
454	also problem phone read memory card always turn	0
455	good wear hat sunglass	0
456	timely shipment quality product	1
457	nice solid keyboard	1
458	well make fit surefire perfectly	1
459	horrible phone	0
460	battery junk	0
461	would recommend	1
462	get software work computer	0
463	disappoint	0
464	poor voice clarity	0
465	battery work great	1
466	buyer remorse one	0
467	disappointed accessoryone	0
468	find inexcusable probably return phone perhaps change carrier	0
469	look great strong	1
470	tmobile service year pretty happy	1
471	update procedure difficult cumbersome	0
472	disappointment hate anything go ear	0
473	great software motorolas	1
474	delivery time	1
475	easy use	1
476	uncomfortable ear use lg env	0
477	volume switch rocket unit destination unknown	0
478	hold charge long time reasonably comfortable longweare condition quality sound tremendous	1
479	would like return	0
480	keyboard really worthwhile usefulness sturdy enough expect problem	1
481	verizon bill however difficult understand even though pricing plan simple	0
482	charge overnight battery work great	1
483	regret	1
484	love phone	1
485	disappointment	0
486	user friendly	0
487	unfortunately ability actually know receive call rather important feature phone pitiful respect	0
488	exchange phone even problem	0
489	result phone either stick max volume mute	0
490	pda rock	1
491	super charge use small hybrid palmtopcameracellphone excel role	1
492	would definitely recommend jabra look comfort clarity great price	1
493	verizon year ago really like service	1
494	pretty piece junk	0
495	plug wrong size	0
496	work describe	1
497	save money item month	0
498	bad purchase	0
499	well im satisfied	1
500	bose noise cancelling amazing important nyc commuter	1
501	battery excellent bargain	1
502	defective crap	0
503	would give star able	0
504	wear glass fit fine	1
505	sound quality device unacceptableunless really quiet area almost hear nothing	0
506	would recommend item anyone	0
507	holster arrive match photo ad	0
508	greatno problem	1
509	early review note plug charger nothing happen	0
510	frog phone charm adorable eye catch	1
511	never know push hard enough right number time function want	0
512	sound clear people talk amazed quality	1
513	get aluminum case new palm vx work really wellit protect handheld perfectly far	1
514	good product well make	1
515	mobile phone tools must	1
516	impressed job motorola sturdiness phone	1
517	receive order well within shipping timeframe everything good working order overall excited source	1
518	phone sturdy waterproof	1
519	impressed would recommend item anyone	0
520	complaint standard sound volume little low even turn	0
521	thank amazon thing need good price	1
522	end slide edge pant back pocket instead	1
523	go store buy new nokia phone work great	1
524	work great	1
525	really ugly	0
526	horrible switch time	0
527	noise shield incrediable	1
528	real improvement	0
529	razr battery good buy	1
530	keep good work amazon	1
531	refuse refund replace	0
532	unfortunately easy accidentally activate gentletouch button accidentally touch phone face listen	0
533	basically throw money window nothing	0
534	great case price	1
535	take one drop inch kitchen counter crackedi impressed laugh	0
536	bluetooth range good day ago leave phone trunk get call carry conversation without hitch	1
537	small sleek impressive look practical setup ample storage place	1
538	eargel channel sound directly ear seem increase sound volume clarity	1
539	none new one ever quite work properly	0
540	glad purchase	1
541	miss numerous call reason	0
542	perhaps phone defective people hear use	0
543	buy product	0
544	suck stuff work phone	0
545	shift bubble peeling even scratch nothingi could happy new one droid	1
546	bad software ever use could give zero star would	0
547	try make call exercise frustration	0
548	case flimsy piece plastic front side protection whatsoever	0
549	jabra earset happy sound quality especially outgoing well	1
550	love camera really pretty good quality	1
551	thank great service	1
552	total package	1
553	seller understanding patient would definitely buy	1
554	give wirefly stari contact cingularatt inform practice	0
555	aggravating	0
556	great product price	1
557	purchase family friend enjoy clarity ease use	1
558	virgin wireless rock cheap little phone	1
559	none work buy	0
560	muddy low quality sound casing around wire insert poorly super glue slide	0
561	please waste money	0
562	quite satisfied purchase	1
563	look good quality motorola headset keep look	0
564	yet plantronincs continue use flawed charger design	0
565	disapointing result	0
566	cumbersome design	0
567	great new package nice work good problem come less time expect	1
568	great product	1
569	piece crap	0
570	experience terrible fourth bluetooth headset much comfortable last jabra hate	0
571	fix problem	1
572	worst ever	0
573	happy	1
574	trouble access internet download ringtone perform function	1
575	barely ever hear constantly say	0
576	battery life highly unacceptable	0
577	company joke	0
578	everything description say would	1
579	due happening every call force stop use headset	0
580	work great car charger especially plug two adapter time	1
581	verizon tech support walk procedure none work end hard reset wipe datum	0
582	voice quality signal strength drop call	0
583	play louder speaker size price low would think quality lack however	1
584	better expect	1
585	feel poorly construct menu difficult navigate button recessed difficult push	0
586	battery hold well	1
587	also difficult put onid recommend avoid product	0
588	use two day always easy hear	0
589	get car charger even week charger brokeni go plug start smoke	0
590	sprint terrible customer service	0
591	link phone without effort	1
592	cool	1
593	easy use	1
594	well new	1
595	possese get junk idea	0
596	piece trash	0
597	pretty good product	1
598	great phone	1
599	price amazon excellent product would highly recommend	1
600	research development division obviously know	1
601	real killer volume course break	0
602	phone work fine	1
603	happy product	1
604	poor construction	0
605	infuriate	0
606	overall would recommend phone new walkman	1
607	sprint charge service	0
608	cheap feel look cheap	0
609	fit ear well comfortable	1
610	work europe asia	0
611	clip belt deffinitely make feel like cent upandcome	1
612	like design look jabra behe ear headset pretty comfortible wear hour day without pain ear	1
613	amazed quick arrival two original lg cell phone battery fraction price	1
614	bad phone samsungcrap crappy samsung bad ever seeen	0
615	charger work week completely stop charge phone	0
616	poor product	0
617	however need well instruction	0
618	need two hand operate screenthis software interface decade old compete new software design	0
619	work well pair treo skype headset pc use usb bluetooth transceiver	1
620	steer clear product go genuine palm replacementr pen come threepack	0
621	buy buyit suck	0
622	great product sure beat use finger	1
623	plus seriously believe worth steep price point	0
624	case try normally fall apart month one seem long haul	1
625	dissapointing performance	0
626	make mistake please buy phone	0
627	phone may well bad ever brand	0
628	case less extra originally put later discard scratch ear	0
629	recommend igo anyone different brand cell player family	1
630	bother go store	0
631	post detailed comment grey black phone fire red great color	1
632	problem item would order need	1
633	get pay guess	0
634	software great job could also make ringtone form exist cd without internet connection	1
635	surprise good quality car charger much review	1
636	fabulous	1
637	however bt headset currently good real time game like firstperson shooter since audio delay mess	0
638	use bitpim free program find internetto transfer datum phonethe price cable excellent	1
639	disappointing accessory good manufacturer	0
640	perform awful muffled tinny incoming sound severe echo end call	0
641	windresistant	1
642	obviously terrible customer service get pay	0
643	last forever overly expensive replaceeasy operate sound much well try	1
644	contact company tell although unit still warranty could produce receipt luck	0
645	linksys way exchange bad phone refurb unit something	0
646	phone sturdy nokia bar phone	1
647	great phone	1
648	place treo case snug lot extra room side	0
649	please	1
650	battery terrible	0
651	find product easy set use	1
652	earpiece large heavyit keep fall ear	0
653	utter crap sound quality terrible	0
654	charger arrive within promise timeframe work	0
655	ear loop need tiny sound great	1
656	finally three four time spring latch break could use longer visor	0
657	handsfree part work fine car try download address book treo rebootsoverall still rate device high	1
658	talk useless customer service	0
659	feel light tinny	0
660	fit palm tungsten break first time try plug	0
661	happy purchase good quality low price	1
662	love look feel samsung flipphone	1
663	welldesigned sharp blue nice color	1
664	everything	1
665	could recommend	0
666	nice sound	1
667	look good picture case huge disappointment	0
668	much less jawbone go replace	1
669	setup go smoothly	1
670	extremely slow take forever anything	0
671	must study anyone interested bad sin industrial design	0
672	first thing happen tracking	0
673	well make easy access phone handy detachable belt clip	1
674	continue pair periodically since somehow keep drop	0
675	upload ringtone third party	0
676	bluetooth work phone lock screen flash make call randomly pocket lock	0
677	truly awful	0
678	work fine motorola cellphone lot well wornout battery	1
679	volume ringer real good choice loud	1
680	none tone acceptable	0
681	camera color balance awful	0
682	product clearly ready prime time care cool look tell call come worthless	0
683	love ringtone upbeat	1
684	chinese forgeries abound	0
685	easy pair samsung cell	1
686	instruction explain microphone jack could use	0
687	would advise purchase item never work well	0
688	bad pay month service	0
689	work well	1
690	nokia usb cable work phone	0
691	clear crisp sound	1
692	use small earpiece provide stay pretty well	1
693	big complaint battery drain superfast	0
694	design may ergonomic theory could stand ear	0
695	do buy want use holster	0
696	phone also take great picture even video clip	1
697	make look cool	0
698	ear occupy background distract	1
699	comfortable fit need headset comfortable least hour time entire day	1
700	also phone seem accept anything except cbr preferably rip windows media player	0
701	beat price	1
702	come strong light use light camera shot even flash sos signal seriously	1
703	lightweight work well	1
704	beware	0
705	love cable allow connect miniusb device pc	1
706	anyone near hear part conversation	0
707	cool case open allow screen get scratch	1
708	buy phone replacement startac regret since	0
709	appear actually outperform original battery china come	1
710	store anything phone number sim	0
711	last less minute actually try use phonemy wife phone problem	0
712	poor quality	0
713	jabra ear gel r good	1
714	worth	0
715	phone crash completely get replace	0
716	quit work would use month purchase another one good headset ever	1
717	unfortunately recharge iphone despite connect multiple power source imac external battery wall outlet etc	0
718	great phone	1
719	simply want small flip phone look elsewhere extra bell whistle mediocre	0
720	good value work fine power via usb car wall outlet	1
721	phone slide around car grip prevent phone slip hand	1
722	simply best bluetooth headset sound quality	1
723	think plan onethis sure last moto phone	0
724	span hour two people exclaim whoa new phone tv	1
725	always use cord headset freedom wireless helpful	1
726	case pass one year mark show sign wear functional	1
727	leather nice soft fit tight cut face good shape	1
728	everything need could ask	1
729	receive use product day break	0
730	product great make work lot easy go copier wait hold something	1
731	none three size send headset would stay ear	0
732	tmobile good customer service anywhere	1
733	arrive quickly much less expensive sell	1
734	try unit fail within month pro	0
735	provide good protection look classy	1
736	krussel always good	1
737	tracfonewebsite user friendly make easy toactivate etc	1
738	design	1
739	great reception time	1
740	would highly recommend product	1
741	could use unit sunglass good texas	0
742	dit work time nokia	0
743	buy mainly charger break soon purchase	0
744	like loud buzzing override conversation phone	0
745	fantastic buy get whatever next phone	1
746	stay away store careful	0
747	blueant supertooth handsfree phone speaker awesome	1
748	fit	0
749	item arrive quickly work great metro pcs samsung slider phone sony premium sound ear plug	1
750	light plenty battery capacity confortable wear somewhat extended period time	1
751	disappointing	0
752	blue ant easy use	1
753	cheap hey work pleasantly suprise give low cost item	1
754	camera phone may use dustpan indoor would rather use disposable	0
755	day later puff smoke come phone use	0
756	convenient simple use get job make car ride much smooth	1
757	nano state itmy son dissapointe	0
758	sound quality excellent well	1
759	good headset use	1
760	would reccommend	0
761	around year carry high quality antiglare screen protector find date	1
762	want	1
763	particular model would work motorola q smartphone	0
764	work right atleast	0
765	addition feel amp look phone lightweight cheap plastic	0
766	warranty problem reoccurebottom line put money somewhere else cingular support	0
767	really want plantronics right one many issue methe good	0
768	great product	1
769	crisp clear	1
770	first charge keep go dead minute	0
771	cheap plastic creak like old wooden floor	0
772	get absolutely horrible reception apartment phone problem	0
773	reception generally good	1
774	excellent sound battery life inconspicuous boot	1
775	great bluetooth	1
776	highly recommend case	1
777	worthwhile	1
778	great deal	1
779	phone get year old slowly break despite much care part	0
780	sorry make purchase	0
781	buy hope could make bluetooth headset fit better thing make impossible wear	0
782	treo tmobile refuse replace force buy another phone without kind upgrade discount	0
783	horrible	0
784	think would hold securly belt	0
785	allow possibility double booking date time first	0
786	work week break	0
787	simple use like	1
788	great tool entertainment communication datum managementoh sure use activesync optimal datum synchronization result	1
789	use case smell disgusting	0
790	want	0
791	case would order another	1
792	great phone	1
793	buy battery coupon amazon happy purchase	1
794	internet access fine rare instance work	0
795	perfect	1
796	five star plus plus	1
797	good quality bargain buy buy cheapy big lots sound awful people end could hear	1
798	drain	0
799	try talk real loud shout telephone get old still tell great	0
800	good work fine	1
801	price great deal	1
802	great price	1
803	wind completely useless	0
804	yes shiny front side love	1
805	work	0
806	first think grtte good deal plug phone razr	0
807	reception headset excellent	1
808	thumb seller	1
809	verizon lg phone work well together good reception range exceed foot line sight	1
810	improper description return	0
811	work comfortable	1
812	battery chargelife quite long	1
813	jabra eargels fit ear well	1
814	battery life	0
815	check everywhere feature really disappointing	0
816	product exactly describe	1
817	get signal verizon phone	1
818	job	0
819	would recommend	1
820	plan order	1
821	say phone camera nice many cool effect play video decent well	1
822	satisfied cell phone day one	1
823	keep get well better third one numerous palms	1
824	awkward use unreliable	0
825	shipping time also quick	1
826	good hope	0
827	good case	1
828	work	0
829	really good product	1
830	unfortunately work	0
831	three break within two month use	0
832	buy	0
833	father battery die	0
834	however ear pad come easily one week lose one	0
835	call drop phone come screen go black bad stop ring intermittently	0
836	horrible horrible protector	0
837	like nokia either	0
838	reach bottom row uncomfortable send end key expect	0
839	buy nokia cell phone week ago nightmare	0
840	would take long describe bad customer service experience amazon	0
841	very disappointing thing speakerphone	0
842	terrible car accept cassette	0
843	product useless since enough charge current charge cellphone plan use	0
844	say	0
845	stay away q	0
846	used dirty	0
847	unreliable service tmobile	0
848	good enough price	0
849	buy two neither charge	0
850	look nice	1
851	excellent tool especially pair phone autoanswer	1
852	read review problem	1
853	product cover important light sensor ear outlet	0
854	comfortable hand	1
855	work	0
856	poor reliability	0
857	work	1
858	take picture battery drop bar start beep let know dieing	0
859	terrible product waste money	0
860	last time buy	0
861	waste money	0
862	far work like charm	1
863	week far good	1
864	case good part download picture laptop use ir even send picture laptop phone	1
865	would recommend item	1
866	choice headset yearsgreat sound good volume good noise cancellation	1
867	nice case feel good hand	1
868	item receive counterfeit	0
869	really good far probably good bt headset ever	1
870	work fine	1
871	receive headset good time happy	1
872	pleased see could replace well travled swivel holster blackberry flip	1
873	sister one also love	1
874	good quality	1
875	far bad purchase make amazon	0
876	excellent dualpurpose headset	1
877	excellent	1
878	work listen music cingular	0
879	seem completely secure hold belt keep iphone inside	1
880	bottowm lineanother worthless cheap gimmick sprint	0
881	trouble volume	0
882	good thing fit comfortably small ear	1
883	warning buy	0
884	pair iphone could happy far	1
885	open battery connection break device turn	0
886	want clip go top ear cause discomfort	0
887	good headset ever	1
888	trust website expect helpful support	0
889	loudglad say plantronics maintain flawless connection cell static normal use	1
890	speaker low quality make ring tone sound cheap	0
891	fit comfortably come three size earbud tip	1
892	excellent product price	1
893	bad reception	0
894	product high quality chinese crap	0
895	quite comfortable ear	1
896	great phone	1
897	buy product fail	0
898	everything product wrongfirst	0
899	pairing two device easy barely take couple minute start make call voice dialing feature	1
900	utterly confusing first cause lose couple important contact	0
901	terrible phone holder	0
902	cutout button place perfectly	1
903	love able use one headset landline cell	1
904	problem ear loop make weak material break easily	0
905	nearly good look amazon picture make look	0
906	despite flaw case exceptional quality well worth additional cost official oem product	1
907	stupid	0
908	hear drive car usually even put loud setting	1
909	seller ship quickly much cheap competitor	1
910	good show samsung	1
911	buy save alot money	1
912	always cut make beep beep beep sound say signal fail	0
913	could figure	0
914	phone sound ok great ok wifes phone almost totally unintelligible could understand word say	0
915	take battery phone put back together restart	0
916	manage bend leaf spring back place metal enough stress break next drop	0
917	leopard print wonderfully wild	1
918	work	1
919	saggy floppy piece junk	0
920	much well hard plastic case	1
921	also new problem	0
922	happy far	1
923	cool phone	1
924	work good	1
925	motorola finally get voice quality bluetooth headset right	1
926	loose connection phone even within couple foot two	0
927	great would really recommend	1
928	make easy keep bluetooth wear	0
929	say abovepretty useless	0
930	never get	0
931	pair headphone bad ever soundwise	0
932	drain weak snap	0
933	charge cingular att phone	0
934	get extra minute carry call get cut	1
935	however year fliptop start get loose wobbly eventually screen go black could receive place call	0
936	keep catch cable seat pull phone turn	0
937	headset fulfill requirement happy purchase	1
938	logitech bluetooth headset	1
939	like fact rest lightly ear rather inside	1
940	lot website rate good phone	1
941	try cable computer ipod work fine	1
942	mic joke volume quite low	0
943	return	0
944	maintain connection computer lap	0
945	easy turn car volume control quite accessable	1
946	year christmas buy rest family	1
947	otherwise easy install use clear sound	1
948	nice leather	1
